factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
Knit Valley Ltd.,Sweater,5.0,410.0,275,0,Sweaters,"Plot # (Old) 58, New -53, Chapulia, Gazipur, Simulia",Gazipur,Simulia,2005
Knit World Ltd.,Knit,5.0,359.0,150,4000,"T-Shirts ,Polo Shirts","A-91, BSCIC I/A, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Knitex Apparels Ltd.,Knit,5.0,250.0,250,450000,"T-Shirts ,Pants ,Panties","28,29,30, BSCIC Industrial Area, Block - B, Chittagong, Chandgaon",Chittagong,Chandgaon,1997
Knitex Dresses Ltd.,Knit,5.0,250.0,182,330000,"T-Shirts ,Polo Shirts ,Tank Tops","Sarodaganj, Gazipur, Kashimpur",Gazipur,Kashimpur,2007
Knitexpo Ltd.,Sweater,5.0,860.0,736,72000,"Sweaters ,Pullovers ,Cardigans","Plot # 6594 - 6595, South Halishahar, Chittagong, Bandar",Chittagong,Bandar,1998
Knittex Industries Ltd.,Knit,5.0,1844.0,911,650000,"T-Shirts ,Polo Shirts ,Leggings ,Knitted Jacket","Plot # 247-252, Baimile, Gazipur, Gazipur",Gazipur,Gazipur,1994
Knitting N Style Ltd.,Knit,5.0,220.0,109,48000,"Shirts ,Pants ,Polo Shirts","Khadija Shopping Complex, Ahalia, Dhaka, Turag",Dhaka,Turag,2013
Koala Apparel Ltd.,Sweater,1.0,235.0,0,6250,,"Holding # 137, Sharifpur, National University, Gazipur, Gazipur",Gazipur,Gazipur,2019
Kohinoor Apparels Ltd.,Woven,1.0,900.0,600,300000,"Panty ,Boxer ,Pajamaset ,Bikini","436/457, Gazi Shah Lane, Dev Pahar, Chittagong, Chittagong",Chittagong,Chittagong,1998
Kohinoor Garments Inds. Ltd.,Knit,5.0,200.0,115,300000,"Shirts ,Pants ,T-Shirts","Asha Plaza (1st Floor), Hemayetpur, Dhaka, Savar",Dhaka,Savar,2012
Kojima Lyric Garments Ltd.,Woven,5.0,1550.0,800,100000,"Jacket ,Ladies Pants ,Ladies Skirt ,Ladies Casual coat","Chandona-Naljani, Bashan, Gazipur, Gazipur",Gazipur,Gazipur,1994
Koka Industries Ltd.,Knit,5.0,450.0,345,120000,"Kids Wears ,Ladies Tops ,Panties ,Trousers","67, Panchlaish, Chittagong, Panchlaish",Chittagong,Panchlaish,1994
Konabari Fashion Ltd.,Sweater,5.0,250.0,135,33300,Sweaters,"Sharif Medical Bhaban, Nilnagar, Gazipur, Konabari",Gazipur,Konabari,2011
Kores (Bangladesh) Ltd.,Sweater,5.0,700.0,570,60000,Sweaters,"Mouchak, Sanarpar, Narayanganj, Siddirganj",Narayanganj,Siddirganj,1999
KRC Composite Textile Industry Ltd.,Knit,5.0,273.0,130,100000,"T-Shirts ,Polo Shirts ,Babies Wears","Volial, Munshiganj Road, Narayanganj, Narayangonj",Narayanganj,Narayangonj,1996
Krishan Knitting Ltd.,Sweater,5.0,425.0,325,72000,"Sweaters ,Cardigans ,Ponchu","Steel House, 360, Strand Road, Chittagong, Strand Road",Chittagong,Strand Road,1995
Kron Sweater Limited,Sweater,5.0,520.0,366,54000,Sweaters,"4497/A, Arakan Road, Chittagong, Chandgaon",Chittagong,Chandgaon,1997
KS Fashions Ltd.,Woven,5.0,480.0,180,50000,"Shirts ,Pants","Chaydana, Hazirpukur, Gazipur, National University",Gazipur,National University,2014
KSS Knit Composite Ltd.,Knit,5.0,569.0,388,580000,"T-Shirts ,Polo Shirts ,Tank Tops","Bahararchala, Gazipur, Mowna",Gazipur,Mowna,2008
KTJ Gloves Ltd.,,,,0,500000,Hand Gloves,"FS SFB (3rd Floor), DEPZ, Gonak Bari, Dhaka","FS SFB (3rd Floor), DEPZ, Gonak Bari",Dhaka,2020
Kujess Garments Inds. (Pvt) Ltd.,Woven,5.0,400.0,120,60000,"Jeans Cargo ,Wind Pants ,Sport Shorts","227/B, Ehsan Tower, Hafiz Nagar, Chittagong, Bakalia",Chittagong,Bakalia,1984
Kuliarchar Sweater Inds. Ltd.,Sweater,5.0,1400.0,900,130000,"Shirts ,Ladies Shirts ,Pullovers","Bada Kalmasher, Gazipur, K.B. Bazar",Gazipur,K.B. Bazar,1995
Kumudini Apparels,Woven,5.0,436.0,183,116600,"Windbreakers ,Trousers ,Skirts ,Shorts","72,Serajuddowla Road, Narayanganj, Khanpur",Narayanganj,Khanpur,1996
Kumudini Garments,Woven,5.0,434.0,161,50000,"Shirts ,Jackets ,Shorts ,Windbreakers","72,Serajuddowla Road, Narayanganj, Khanpur",Narayanganj,Khanpur,1985
Kunimoto Sweater & Knitwears Ltd.,Sweater,5.0,250.0,236,35000,Sweater,"Kodda Nandun, Gazipur, Joydevpur",Gazipur,Joydevpur,2013
Kushiara Composite Knit Inds. Ltd.,Knit,5.0,2000.0,794,1500000,"T-Shirts ,Polo Shirts ,Tank Top","Tetoi Bari, Dehra, Dhaka, B. Baria",Dhaka,B. Baria,2000
Kushtia Fashions Ltd.,Woven,5.0,300.0,106,0,"Jogging Suits ,Babies Wear ,Knit Items","Sotobali Mahar, Dhaka, Savar",Dhaka,Savar,1999
Kwun Tong Apparels Ltd.,,,,0,100000,"Shirts ,Jackets ,Knit Items","Shed # 122, Plot # 59-87, Ademjee Nagar, Narayanganj","Shed # 122, Plot # 59-87, Ademjee Nagar",Narayanganj,2020
KZ Fashion MFRS. Ltd.,Woven,1.0,4.0,656,208333,"Jacket ,Pant ,Bra ,Panty","Chickair, Durgabari, Raozan, Chittagong, Chittagong",Chittagong,Chittagong,2023
KZM Apparels (Pvt.) Ltd.,Knit,5.0,319.0,107,104000,"T-Shirts ,Trousers ,Polo Shirts ,Polo Shirts","15, Agrabad C/A (4th Floor), Noor Mansion (3rd Floor), Chittagong","15, Agrabad C/A (4th Floor), Noor Mansion (3rd Floor)",Chittagong,2008
L Usine Fashion Ltd.,Sweater,5.0,2150.0,1500,250000,"Sweaters ,Pullovers ,Cardigans","Channapara, Gazipur, Sreepur",Gazipur,Sreepur,2008
L.A. Fashion (Pvt.) Ltd.,Woven,5.0,800.0,400,80000,"Shirts ,Ladies Dresses ,Shorts ,Pajama Sets","261/2, West Agargaon, Dhaka, Agargaon",Dhaka,Agargaon,1994
L.K. Sweater (Pvt.) Ltd.,Sweater,5.0,500.0,300,50000,Sweaters,"House # 3 & 5, Road # 3, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2012
L' Esquire Limited,Woven,1.0,5.0,1698,5720000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Jamirdia, Valuka, Mymensingh, Mymensingh",Mymensingh,Mymensingh,2023
La Camicia Ltd.,Woven,5.0,312.0,166,1123200,"Shirts ,Pants","Uttarpara, Piruzali, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2016
La-Muni Apparels Ltd.,,,150.0,457,137500,"Shirts ,Pant","Barendra, Kashimpur, Gazipur, Gazipur",Gazipur,Gazipur,2017
Labib Attire,Woven,1.0,1.0,128,150000,"Shirt ,Pant","Kathgura, Dewanbari, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2022
Labib Fashions Ltd.,Sweater,5.0,800.0,350,130000,Cardigans,"Vogra, Chandana Chowrasta, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2001
Lagoon Clothing Ltd.,Knit,5.0,350.0,168,120000,"T-Shirts ,Polo Shirts ,Panties","Plot # 6207, East Halishahar, Ali Plaza (5th Floor), Chittagong, Bandar",Chittagong,Bandar,1998
Laila Styles Ltd.,Woven,5.0,4952.0,2665,104000,"Shirts ,Pants ,Trouser ,Skirt","Bhadurpur, Shikder Bari, Gazipur Sadar, Gazipur, Bangladesh., Gazipur, Gazipur",Gazipur,Gazipur,2016
Lakhsma Innerwear Ltd.,Knit,1.0,1100.0,667,856840,"T-Shirt ,Polo Shirt","House#8/I,flat#100, Road # 81, Gulshan, Dhaka, Dhaka",Dhaka,Dhaka,2016
Lakhsma Sweaters Ltd.,Sweater,5.0,2000.0,1319,150000,"Sweaters ,Pullovers ,Cardigans","Joy Bangla Sarak, Khailkoir, Barabari, Gazipur, K.B. Bazar",Gazipur,K.B. Bazar,2000
Lalmai Sportswear Industries Ltd.,Woven,5.0,4475.0,3197,180000,"Jackets ,Pants ,Rain Wears ,Down Vest","Plot # 7-20, Sector # 3, Chittagong, CEPZ",Chittagong,CEPZ,1998
Lam Mim Apparels Ltd.,Knit,1.0,825.0,1407,666000,"T-Shirt ,Polo Shirt ,Sweat shirt ,Tops","Bangabandhu Road, Tongabari, Ashulia, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2021
Lamiya Adnan Quality Garments,Woven,5.0,250.0,150,40000,"Shirts ,Pants","194, Shanarpar, Narayanganj, Siddirgonj",Narayanganj,Siddirgonj,2013
Landmark Design Wear Ltd.,Knit,5.0,473.0,105,150000,"T-Shirts ,Polo Shirts ,Tank Tops","Landmark Complex, Shadhur Para, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,1998
Landmark Fabrics Ltd.,Knit,5.0,816.0,1150,800000,"T-Shirts ,Polo Shirts ,Tank Tops","Landmark Complex, Shadhur Para, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2001
Landmark Fashion Wear (Pvt) Ltd.,Knit,5.0,496.0,171,40000,"T-Shirts ,Polo Shirts ,Pyjama Sets","Landmark Complex, Shadhur Para, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,1999
Landmark Textile,Knit,5.0,105.0,110,156000,"Shirts ,Shorts ,T-Shirts","124, Bashir Uddin Road, Kalabagan, Dhaka, Mirpur Road",Dhaka,Mirpur Road,1993
Landmark Yarn Dyeing Ltd.,Sweater,5.0,995.0,2195,500000,"Sweaters ,Cardigans ,Pullovers","Landmark Complex, Shadhur Para, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2003
Lantabur Apparels Ltd.,Knit,5.0,1054.0,348,200000,"TShirts ,Polo Shirts","Kewa, Boherarchala, Gila Beraeed, Gazipur, Sreepur",Gazipur,Sreepur,2014
Larson Fashion Ltd,Woven,5.0,450.0,67,40000,"Shirts ,Jackets ,Skirts","Rahat Complex, 199/A, Dighirpar, Dewanhat, Chittagong","Rahat Complex, 199/A, Dighirpar, Dewanhat",Chittagong,2000
Latest Fashion,Knit,5.0,250.0,125,150000,"T-Shirts ,Children Wears","Joy Bangla Road, Khailkoir , Baro Bari, Gazipur, National University",Gazipur,National University,1998
Latest Garments Ltd.,Knit,5.0,500.0,290,350000,"T-Shirts ,Polo Shirts ,Night Wears ,Fleece Jackets","519, Chater, Chotobari, Gazipur, Joydevpur",Gazipur,Joydevpur,1990
Latif Fashions Ltd.,Knit,5.0,349.0,150,250000,"T-Shirts ,Polo Shirts","Plot # 326, Road # 6, Block # B, Ward # 1, Mizmizi T.C Road, East Painadi, Narayanganj, Siddirgonj",Narayanganj,Siddirgonj,2014
Latif Knitting Mills Ltd.,Knit,5.0,600.0,350,390000,"T-Shirts ,Polo Shirts","A/111-112, BSCIC I/E, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Laurels Fashion Ltd.,Sweater,5.0,475.0,360,50000,Sweater,"23, Shahin Complex, Sataish Road, Gazipura, Gazipur, Tongi",Gazipur,Tongi,2014
Lavender Fashion Ltd.,Woven,1.0,2.0,80,70000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Dighirchala, Chondona Chow Rasta, Bason, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022
Lavender Garment Ltd.,Woven,5.0,724.0,286,144000,"Shirts ,Jackets ,Trousers ,Pants","Mouchak, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2006
Laverntex Sweaters Ltd.,Sweater,5.0,200.0,203,24000,Sweater,"Night Angel Medical College Road, Sarkar Market, Beron, Ashulia, Dhaka, Savar",Dhaka,Savar,2016
Lavish Design Limited,Woven,1.0,3.0,120,233000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Amtola, Kathgora, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2022
Lawyee Fashion Ltd.,Woven,5.0,330.0,50,100000,,"149, East Kazipara, Mirpur-14, Dhaka, Mirpur",Dhaka,Mirpur,2016
Lax Lingerie Ltd.,Knit,5.0,600.0,478,1200000,"T-Shirts ,Polo Shirts","Plot # A/1 & 2, Block - B, BSCIC I/A, Chittagong, Fouzdarhat",Chittagong,Fouzdarhat,2009
Lazim Apparels Ltd.,,,,0,120000,"Jackets ,Trousers ,Pants","Holding No A - 46/2, Mogorkhal, National University, Gazipur, Gazipur",Gazipur,Gazipur,2018
Le Nouveautex (Pvt) Ltd.,Knit,5.0,242.0,112,250000,"Ladies Wears ,Children Wears ,T-Shirts/Polo Shirts","Board Bazar, Gazipur, Tongi",Gazipur,Tongi,1995
Le-Nouveautex Knit Fashion,Knit,5.0,350.0,220,100000,"T-Shirts ,Polo Shirts ,Tank Tops","Vannara Road, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2008
Leading Fashion Ltd.,Woven,5.0,365.0,165,40000,"Shirts ,Jackets ,Pants","68/4, Sagarika Road, Chittagong, Pahartali",Chittagong,Pahartali,1998
Leaf Grade Casualwear Ltd.,Woven,5.0,470.0,280,120000,"Ladies Long Pant ,Short ,Skirt ,Jacket","Kewa (Madrasa Road), Sreepur, Gazipur-1740, Gazipur, Gazipur",Gazipur,Gazipur,2016
Leather Craftsman Ltd.,Woven,5.0,320.0,265,65000,"Shirts ,Jackets ,Pants","House # 67, Road # 3, Block - D, Ward # 3, Kamarpara, Dhaka, Turag",Dhaka,Turag,2012
Lebaz Sweater Inds. Ltd.,Sweater,5.0,370.0,235,72000,"Sweaters ,Pullovers ,Jersey","Ovizatrra # 95, Mondol Market, Boro Dewra, Gazipur, Gazipur",Gazipur,Gazipur,2011
Leeu Fashion Ltd.,Sweater,5.0,790.0,255,255000,Sweater,"Meharabari, Hazir Bazar, Mymensingh, Valuka",Mymensingh,Valuka,2015
Legacy Fashion Ltd.,Woven,5.0,2500.0,1200,400000,"Shirts ,Blouses ,Dresses","BSCIC Industrial Estate, Chittagong, Kalurghat",Chittagong,Kalurghat,2006
Legend Textiles Limited,Knit,5.0,100.0,100,120000,"Shirts ,T-Shirts ,Polo Shirts","Plot # 3-5, Sector # 3, Karnaphuli EPZ, Chittagong, North Patenga",Chittagong,North Patenga,2012
Lemond Apparels & Textiles Ltd.,Knit,5.0,381.0,110,350000,"T-Shirts ,Boxer ,Panties","East Madarbari, 545, Majirghat Road, Chittagong, Doublemooring",Chittagong,Doublemooring,2005
Lemond Fashion Ltd.,Knit,5.0,352.0,100,300000,"Shirts ,T-Shirts ,Panties ,Boxers","545, East Madarbari, Chittagong, Majhirghat Road",Chittagong,Majhirghat Road,1994
Lenient Fashion Ltd.,Woven,1.0,3.0,202,75000,"Shirt ,Pant ,Jacket ,T-Shirt","13402 & 14417, Satarkul Road, Satarkul, Badda, Dhaka, Dhaka",Dhaka,Dhaka,2019
Lenny Apparels Ltd.,,,,0,450000,"Shirts ,Jackets ,Pants","54-56, Ganakbari, DEPZ, Ashulia, Dhaka","54-56, Ganakbari, DEPZ, Ashulia",Dhaka,2020
Lenny Fashions Ltd.,,,,0,650000,"Ladies Bottom ,Ladies Tops ,Mens Bottoms","Plot # 66-68, DEPZ, Ganakbari, Ashulia, Dhaka","Plot # 66-68, DEPZ, Ganakbari, Ashulia",Dhaka,1995
Les Pulls D' Alex Ltd.,Sweater,5.0,625.0,474,80000,Sweaters,"Khilkhet Bazar, Dhaka, Airport Road",Dhaka,Airport Road,2004
Lethe Apparels Ltd.,,,,0,600000,"T-Shirts ,Polo Shirts ,Under Wears ,Tank Top","Lithe Complex, Shanarpar, Asian Highway, Narayanganj","Lithe Complex, Shanarpar, Asian Highway",Narayanganj,1994
Libas Knit Wear Ltd.,Knit,5.0,665.0,320,80000,"T-Shirts ,Polo Shirts","Kewa, Boherarchala, Gila Beraeed, Gazipur, Sreepur",Gazipur,Sreepur,2010
Libas Stitch,Woven,5.0,400.0,130,100000,"Shirts ,Pants","Plot & Holding #1, Turag Housing, Beribadh, Mohammadpur, Dhaka-1207, Dhaka, B. Baria",Dhaka,B. Baria,2014
Libas Textiles Ltd.,Knit,5.0,3500.0,1100,1250000,"T-Shirts ,Polo Shirts","Nischintopur, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2015
Liberty Fashion Wears Ltd.,Knit,5.0,3000.0,1040,500000,"Jackets ,Trousers ,T-Shirts ,Shorts","Plot # 101, Mousa-Tenguri, Zirani Bazar, Dhaka, Savar",Dhaka,Savar,2001
Liberty Garments Inds. Ltd.,Woven,5.0,575.0,200,150000,"Jackets ,Trousers ,Shorts","Plot #9, Block # D, Section # 2, Road # 3, Dhaka, Mirpur",Dhaka,Mirpur,1985
Liberty Knitwear Ltd.,Knit,5.0,345.0,115,0,Knit Items,"Pamarbagh, Kutubpur, Narayanganj, B. Baria",Narayanganj,B. Baria,2001
Lida Textile & Dyeing Ltd.,Woven,1.0,,2752,953333,"T-Shirts ,Polo Shirts ,Briefs","Holding # 100/2, Block # B, East Chandra, Ward-8, Sofipur, Kaliakoir, Gazipur-1751, Bangladesh., Gazipur, Gazipur",Gazipur,Gazipur,2007
Life Textile (Pvt.) Ltd.,Woven,5.0,0.0,20,0,,"69,70,71 BSCIC Industrial Esate, Gazipur, Konabari",Gazipur,Konabari,1997
Lifestyle Fashion Maker Ltd.,Woven,5.0,550.0,320,125000,"Shirts ,Jackets ,Jogging Suits ,Pants","Lutfon Tower (8th & 9th Floor), Plot # E/13, Middle Badda, Dhaka, Badda",Dhaka,Badda,2007
Lilac Fashion Wear Ltd.,Knit,5.0,450.0,322,416000,"Shirts ,Pants ,T-Shirts","Ganak Bari, ashulia, Dhaka, Savar",Dhaka,Savar,2013
Lily Apparels Ltd.,Woven,5.0,525.0,156,100000,"Shirts ,Blouses ,Children Wears","Kathgora, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,1984
Lily Jeans Ltd.,Woven,1.0,250.0,150,120000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","840/838, D.T. Road, Dhanalapara, Double Mooring, Chattogram, Chittagong",Chattogram,Chittagong,2022
Link Wear Ltd.,Knit,5.0,650.0,280,300000,"Shirts ,Pants ,Dresses ,Shorts","687, CDA R/A, Road # 20, Alhaj Nurul Amin Sowdagar Lane, Chittagong, South Agrabad",Chittagong,South Agrabad,1991
Link-Tex Sportswear Ltd.,Knit,5.0,271.0,114,400000,"T-Shirts ,Polo Shirts","Nichintapur, Mouchak, Gazipur, Konabari",Gazipur,Konabari,2011
Linkon Fashion Ltd.,Knit,5.0,220.0,120,80000,"Shirts ,Pants","Commercial Plot # 30, Main Road # 01,, Section # 10, Senpara Parbata, Dhaka, Mirpur-2",Dhaka,Mirpur-2,2014
Lisha Tex Ltd.,Knit,5.0,90.0,60,78000,"Shirts ,Pants ,T-Shirts","KA-140/1, Shahara Bazar, Dhaka, Dhaka",Dhaka,Dhaka,2013
Litun Fabrics Ltd.,Knit,5.0,190.0,154,200000,"Jackets ,Pants ,T-Shirts ,Trousers","Barpa, Narayanganj, Rupganj",Narayanganj,Rupganj,2007
Liz Apparels Ltd.,Woven,5.0,1110.0,1000,100000,"Shirts ,Pants ,Trousers ,Shorts","Kunia, K.B. Bazar, Targas, Gazipur, Board Bazar",Gazipur,Board Bazar,2002
Liz Fashion Industry Ltd.,Woven,5.0,,2900,1083333,"Jackets ,Pants ,Under Wears","Building #02, Holding # 01, Block# C, Shaheed Mosharaf Hossain Road, Purbo Chandora, Sofipur, Kaliakoir, Gazipur, Bangladesh., Gazipur, Gazipur",Gazipur,Gazipur,1997
LM Masinara Asia Ltd.,Knit,5.0,1296.0,1004,312000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 1-2, Sector # 03,, KEPZ, Chittagong, North Patenga",Chittagong,North Patenga,2014
Lodestar Fashions Ltd.,Woven,5.0,2500.0,1043,500000,"Shirts ,Blouses ,Pants","M-16, Section # 14, Dhaka, Mirpur",Dhaka,Mirpur,1995
Lodestar Garments Ltd.,Woven,5.0,450.0,300,100000,"Jackets ,Pants ,Skirts ,Trousers","C-35, Section # 7, Purobi Super Market, Dhaka, Mirpur",Dhaka,Mirpur,1985
Logos Apparels Ltd.,Knit,5.0,1126.0,423,500000,"T-Shirts ,Trousers ,Kids Item ,Ladies Vests","Telir Chala Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1998
Louietex Manufacturing Ltd.,Woven,5.0,670.0,286,156000,"Twill Pants ,Twill Shorts ,Cargo Shorts","Mouza- Sandha, Sharifpur, National University, Gazipur, National University",Gazipur,National University,2012
Lovecraft Garments (Pvt.) Ltd.,Woven,5.0,483.0,234,62000,"Shirts ,Pants","7 & 8, A. C. Roy Road, Armanitola, Dhaka, Old Dhaka",Dhaka,Old Dhaka,1984
Loyal Apparels Ltd.,Knit,5.0,840.0,714,800000,"Hipster ,Bikini ,Cami ,Briefs","434, Kulgaon, Baluchara, Jalalabad, Chittagong, Baizid",Chittagong,Baizid,2012
Loyaltex Limited,Knit,5.0,647.0,300,800000,"Hipster ,Bikini ,Thong","434, Kulgaon, Baluchara, Jalalabad, Chittagong, Baizid",Chittagong,Baizid,2012
Lucid Apparels Ltd.,Woven,5.0,204.0,170,22500,"Jackets ,Pants ,Trousers ,Vests","13, D.I.T Road, Khilgaon Chowdhury Para, Dhaka, Khilgaon",Dhaka,Khilgaon,1994
Lucky Star Apparels Ltd.,Woven,5.0,495.0,275,55000,"Wind Breakers ,Swim Shorts ,Bottoms","141/142, Lalasarat, 234/4, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,1992
Lufa Fashion Ltd.,Woven,5.0,320.0,204,30000,"Swimming Shorts ,Paded Jackets ,Overalls","16/1kH, New jurain, Buriganga Shetu Market (3rd Floor), Dhaka, Jurain",Dhaka,Jurain,1995
Lufa Garments Ltd.,Woven,5.0,351.0,212,25000,"Jackets ,Pants ,Vests ,Trousers","476/B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,1992
Luman Dresses Limited,Woven,5.0,376.0,177,23500,"Jackets ,Pants ,Trousers ,Vests","476-B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,1996
Luman Fashions Ltd.,Woven,5.0,700.0,420,37500,"Jackets ,Pants ,Trousers ,Vests","476-B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,2000
Lumbini Limited,Sweater,5.0,456.0,750,60000,"Sweaters ,Pullovers ,Cardigans","Bandarban Zilla Parishad Complex, Bandarban, Meghla",Bandarban,Meghla,2011
Luminous Garments Limited,Woven,1.0,5.0,120,0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","45/4, East Kadamtoly, Meraj Nagar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2022
Luna Apparels (Pvt.) Ltd.,Woven,5.0,500.0,200,60000,"Jackets ,Shorts","322/1/2, North Goran, Dhaka, Sabujbagh",Dhaka,Sabujbagh,1994
Lusaka Fashion Ltd.,Woven,5.0,400.0,120,120000,"Shirts ,Blouses","261, Ibrahimpur (6th Floor), Dhaka, Cantonment",Dhaka,Cantonment,1995
Lushai Apparels,Woven,5.0,0.0,0,0,"Shirts ,Jackets ,Overalls","FIDC Road, BSCIC I/E, Chittagong, Kalurghat",Chittagong,Kalurghat,2004
Luthan Sweater Ltd.,Sweater,5.0,468.0,160,28000,Sweaters,"Dhour, Gazipur, Turag",Gazipur,Turag,2009
Lyceum Fabrics Ltd.,Knit,5.0,450.0,245,180000,"T-Shirts ,Polo Shirts ,Panties ,Boxers","Plot # 6207, East Halishahar, Ali Plaza (4th Floor), Chittagong, Bandar",Chittagong,Bandar,1998
Lynda Fashions Ltd.,Woven,5.0,485.0,317,120000,"Long Pants ,Cargo Pants ,Trousers ,Bermuda","Shamir Plaza Shopping Complex (5th Floor), Jamgara, Ashulia, Dhaka, Savar",Dhaka,Savar,2005
Lyric Apparels Ltd.,Woven,5.0,1050.0,350,130000,"Winsbreakers ,Pants ,Jogging Suits ,Shorts","Mirzapur Bhaban (5th to 7th Floor), 69/B-1, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,2002
Lyric Industries (Pvt) Ltd.,Woven,5.0,1060.0,350,130000,"Jackets ,Shorts ,Jogging Suits ,Windbreakers","464, West Rampura, Mollah Tower (7th-8th Floor), Dhaka, Rampura",Dhaka,Rampura,2001
LZ Fashion Wear Ltd.,Woven,5.0,399.0,182,33333333,"Shirts ,Pants","Plot # 154, DEPZ (Extension),, Ganakbari, Dhaka, Savar",Dhaka,Savar,2014
LZ Textiles Ltd.,Woven,5.0,250.0,79,25000,"Shirts ,Pants","Dewallia Bari, Gazipur, Konabari",Gazipur,Konabari,2015
M & H Corporation (Pvt) Ltd.,Knit,5.0,415.0,180,120000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Dag # 1415/5482, Dolipara, Sector # 3, Dhaka, Uttara",Dhaka,Uttara,1998
M & M Dresses Ltd.,Woven,5.0,450.0,174,80000,"Shirts ,Boy's Shirts","964, Shewrapara, Begum Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,1995
M & M Shirts Ltd.,Woven,5.0,800.0,360,140000,"Shirts ,Ladies Shirts ,Boy's Shirts","964, Shewrapara, Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,1996
M & S Sweater Ltd.,Sweater,5.0,1010.0,590,50000,Sweaters,"68X (2), Fouzdarhat H/I Area, Chittagong, Pahartoli",Chittagong,Pahartoli,2008
M & W Fashion Ltd.,Woven,5.0,312.0,118,6000000,"Shirts ,Pants ,Jacket","Plot # 37, Block # B, Milla Gate, Gazipur, Tongi",Gazipur,Tongi,2013
M N Sweaters Ltd.,Sweater,5.0,1000.0,436,70000,"Sweaters ,Cardigans ,Pullovers","79-B, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,1993
M R SWEATER,Woven,1.0,,100,,,"538/1, Kamarjuri, National University, Gazipur., Gazipur, Gazipur",Gazipur,Gazipur,2021
M-Nur Sweaters Ltd.,Sweater,5.0,350.0,520,60000,Sweater,"Kolomeshwar, Zhazur Road, Gazipur, National University",Gazipur,National University,2014
M U Fashion Ltd.,Woven,1.0,1500.0,1200,375000,"Shorts ,Trouser ,Jacket ,Skirt","South Salimpur, Jafarabad-4317, Fouzderhat I/A, Chattogram, Chittagong",Chattogram,Chittagong,2019
M-Nur Sweaters Ltd.,Sweater,5.0,350.0,520,60000,Sweater,"Kolomeshwar, Zhazur Road, Gazipur, National University",Gazipur,National University,2014
M-Yew Fashion Ltd.,Woven,5.0,730.0,365,160000,"Long Pants ,Trousers ,Jackets ,Skirts","Haji Sahabuddin Shopping Complex(3rd & 4th), 15/6, Rasulbagh, Dhaka, Mohakhali",Dhaka,Mohakhali,1997
M. I. Knitwear Ltd.,Sweater,5.0,600.0,517,85000,"Sweaters ,Pullovers ,Cardigans ,Vest","PM Centre, 215/216, Dewandighi, Chittagong, Dewanhat",Chittagong,Dewanhat,2004
M.B. Knit Fashion,Knit,5.0,1000.0,430,750000,"T-Shirts ,Polo Shirts ,Sweat Shirts ,Tank Tops","A/122, BSCIC Inds. Estate, Narayanganj, Fatullah",Narayanganj,Fatullah,1997
M.H. Fashion,Woven,5.0,133.0,88,60000,"Shirts ,Pants ,Trousers","79/8, North Jatrabari, Bibir Bagicha, 4 No. Gate, Dhaka, Jatrabari",Dhaka,Jatrabari,2012
