factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
A.K.J. Fashions Fabrics Ltd.,Woven,5.0,250.0,83,60000,"Trousers ,Jackets ,Overalls ,Pants","Plot # 15-16, Road # 4, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2005
A.K.M. Knit Wear Ltd.,Woven,5.0,16815.0,6500,1950000,"Pants ,Trousers ,Jackets ,Rumpers","14, Gedda, Conpara, Ulail, Dhaka, Savar",Dhaka,Savar,2001
A.M. Design Ltd.,Woven,5.0,990.0,1038,240000,"Ladies Dress ,Jackets ,Skirts ,Trousers","Diakhali, Baron, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005
A.M. Fashion,Sweater,5.0,200.0,70,4800,Sweater,"MazuKhan, Harbide, Gaibandha, B. Baria",Gaibandha,B. Baria,2016
A.N. Sweaters Ltd.,Sweater,5.0,350.0,250,36000,Sweaters,"Plot # 6594-95, South Halishahar, Chittagong","Plot # 6594-95, South Halishahar",Chittagong,2003
A.N.B. Fashion Ltd.,Woven,1.0,207.0,141,100000,"Shirt ,Pant ,Jacket ,T-Shirt","Delux House (3rd & 4Th Floor), 209/227 Kulgaon, Baluchara, Baizid Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2022
A.R. Khan Sizing & Fabrics Ltd.,Sweater,5.0,0.0,0,0,Sweaters,"South Silimandi, Narsingdi, Panchdona",Narsingdi,Panchdona,2004
A.R.B. Knitting & Dyeing Inds. Ltd.,Knit,5.0,350.0,130,330000,"T-Shirts ,Polo Shirts ,Fleece Shirts","Dewan Idris Road, Zirabo, Dhaka, Savar",Dhaka,Savar,2008
A.S. Garments & Textiles Ltd.,Woven,5.0,320.0,270,50000,"Pants ,Jackets ,Trousers ,Skirts","109, Goran, Dhaka, Shabujbagh",Dhaka,Shabujbagh,2000
A.S.R. Apparels Ltd.,Woven,5.0,138.0,75,216000,"T-shirts ,Cripper","768, DIT Road, Chittagong, Double Mooring",Chittagong,Double Mooring,1998
A.S.T Garments Ltd.,Woven,1.0,300.0,245,14000,"Shirt ,Pant ,Jacket ,T-Shirt","Shahalam Bhaban (3rd Floor), Painadi Notun Mohalla, Chittagong Road, Siddirgonj, Narayangonj, Narayangonj",Narayangonj,Narayangonj,2021
A.T.S. Apparels Ltd.,Knit,5.0,1200.0,600,320000,"Shirts ,Pants ,Payjama ,Shorts","414, Kochakuri, Talirchala, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2005
A.Z. Stitch Ltd.,Sweater,5.0,400.0,240,34000,Sweaters,"Gabindapur, Ujampur, Uttar Khan, Dhaka, Uttara",Dhaka,Uttara,2009
A4B Wears Ltd.,Knit,5.0,175.0,235,850000,"Denim Shorts ,Denim Jackets ,T-Shirts","123, Dewanhat, Chittagong, Double Mooring",Chittagong,Double Mooring,2006
AA & S International Ltd.,Sweater,1.0,430.0,180,156000,Sweater,"Plot # 81-82, Building # A, Satarkul Road, North Badda, Dhaka, Dhaka",Dhaka,Dhaka,2022
AA Knit Fashion,Knit,1.0,1.0,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Pyjama","Mouchak, Kaliakair, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2022
Aanytex Limited,Knit,5.0,200.0,84,10000,"T-Shirts ,Polo Shirts","CH Plot # 1260, Harirampur, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2010
